Constituent,Site Code,Constituent Abbrev,Visit Datetime,E coli bacteria,Latitude,Longitude,Result
Escherichia coli,LE3,Ecoli,6/17/2015 7:17:29 AM,All Okay,45.370483,-68.535644,8
Escherichia coli,SL1,Ecoli,6/25/2015 7:10:56 AM,All Okay,45.353788,-68.5614,12
Escherichia coli,LE3,Ecoli,7/20/2017 7:34:30 AM,All Okay,45.370483,-68.535644,11
Escherichia coli,LE3,Ecoli,7/20/2017 7:34:30 AM,All Okay,45.370483,-68.535644,20
Escherichia coli,LE3,Ecoli,7/20/2017 7:34:30 AM,All Okay,45.370483,-68.535644,18
Escherichia coli,WBU1,Ecoli,8/10/2016 6:51:38 AM,All Okay,45.636871,-68.773714,9
Escherichia coli,WBU1,Ecoli,7/26/2017 8:01:06 AM,All Okay,45.636871,-68.773714,3
Escherichia coli,EM2,Ecoli,7/26/2017 9:57:15 AM,All Okay,45.61896,-68.569466,23
Escherichia coli,EBU3,Ecoli,8/7/2014 11:24:26 AM,All Okay,45.688846,-68.581972,38
Escherichia coli,WB1,Ecoli,8/7/2014 9:24:46 AM,All Okay,45.607523,-68.537483,17
Escherichia coli,EBU3,Ecoli,7/9/2015 11:26:30 AM,All Okay,45.688846,-68.581972,25
Escherichia coli,EBU3,Ecoli,6/30/2016 12:19:51 PM,All Okay,45.688846,-68.581972,34
Escherichia coli,EBU1,Ecoli,7/9/2015 10:37:04 AM,All Okay,45.860896,-68.623325,32
Escherichia coli,MS1,Ecoli,9/23/2015 11:15:18 AM,All Okay,45.601208,-68.523167,4
Escherichia coli,WB1,Ecoli,9/23/2015 11:05:36 AM,All Okay,45.607523,-68.537483,9
Escherichia coli,EB1,Ecoli,8/3/2016 12:11:49 PM,All Okay,45.617759,-68.538699,2
Escherichia coli,MS1,Ecoli,6/22/2017 7:29:45 AM,All Okay,45.601208,-68.523167,22
Escherichia coli,MS1,Ecoli,9/14/2017 9:10:43 AM,All Okay,45.601208,-68.523167,6
Escherichia coli,WB1,Ecoli,9/14/2017 8:58:08 AM,All Okay,45.607523,-68.537483,9
Escherichia coli,SH2,Ecoli,9/24/2014 11:39:02 AM,All Okay,44.970339,-68.640829,17
Escherichia coli,GB2,Ecoli,8/17/2017 7:49:43 AM,All Okay,45.047625,-68.661691,16
Escherichia coli,GB2,Ecoli,8/31/2017 7:45:05 AM,All Okay,45.047625,-68.661691,4
Escherichia coli,GB1,Ecoli,9/13/2017 11:07:10 AM,All Okay,45.089113,-68.654689,11
Escherichia coli,PA2,Ecoli,6/18/2015 7:28:39 AM,All Okay,45.22526,-68.650091,8
Escherichia coli,PA1,Ecoli,6/18/2015 7:18:37 AM,All Okay,45.225029,-68.652103,8
